"","V1"
"135",438.7149963379
"136",442.675994873
"137",443.1879882813
"138",439.3229980469
"139",444.1549987793
"140",445.9809875488
"141",449.5989990234
"142",453.3840026855
"143",473.4639892578
"144",530.0399780273
"145",526.2329711914
"146",533.8640136719
"147",531.3859863281
"148",536.9199829102
"149",537.9719848633
"150",569.1939697266
"151",572.7269897461
"152",574.9769897461
"153",585.5369873047
"154",576.5969848633
"155",581.6450195313
"156",574.6300048828
"157",577.4699707031
"158",606.7269897461
"159",672.783996582
"160",704.3759765625
"161",685.5590209961
"162",694.4689941406
"163",766.3079833984
"164",748.908996582
"165",756.2269897461
"166",763.7810058594
"167",737.2260131836
"168",666.6519775391
"169",596.116027832
"170",623.9769897461
"171",665.2990112305
"172",665.1229858398
"173",629.3670043945
"174",655.2750244141
"175",647.0009765625
"176",639.8900146484
"177",673.3369750977
"178",676.2960205078
"179",703.7020263672
"180",658.6640014648
"181",683.6619873047
"182",670.6270141602
"183",677.3309936523
"184",640.5620117188
"185",666.5230102539
"186",650.9600219727
"187",649.3599853516
"188",647.658996582
"189",664.5510253906
"190",654.4680175781
"191",658.0780029297
"192",663.2550048828
"193",660.7670288086
"194",679.458984375
"195",673.1060180664
"196",672.8640136719
"197",665.6849975586
"198",665.0120239258
"199",650.6190185547
"200",655.5560302734
"201",661.2849731445
"202",654.0969848633
"203",651.783996582
"204",654.3519897461
"205",655.0349731445
"206",656.9920043945
"207",655.0469970703
"208",624.6810302734
"209",606.2719726563
"210",547.4650268555
"211",566.3549804688
"212",578.2890014648
"213",575.0430297852
"214",587.7780151367
"215",592.6900024414
"216",591.0540161133
"217",587.8010253906
"218",592.1030273438
"219",589.1199951172
"220",587.5590209961
"221",585.5880126953
"222",570.4730224609
"223",567.2399902344
"224",577.4390258789
"225",573.216003418
"226",574.3179931641
"227",575.6300048828
"228",581.6970214844
"229",581.3079833984
"230",586.7529907227
"231",583.4149780273
"232",580.1820068359
"233",577.7609863281
"234",579.6510009766
"235",569.9470214844
"236",573.9119873047
"237",574.1069946289
"238",577.5029907227
"239",575.4719848633
"240",572.3029785156
"241",575.5369873047
"242",598.2119750977
"243",608.633972168
"244",606.5900268555
"245",610.4359741211
"246",614.5440063477
"247",626.3159790039
"248",622.8610229492
"249",623.508972168
"250",606.7189941406
"251",608.242980957
"252",609.241027832
"253",610.6840209961
"254",607.1550292969
"255",606.9730224609
"256",605.9840087891
"257",609.8740234375
"258",609.2269897461
"259",608.3120117188
"260",597.1489868164
"261",596.2979736328
"262",602.8419799805
"263",602.625
"264",600.8259887695
"265",608.0430297852
"266",606.166015625
"267",604.7280273438
"268",605.6929931641
"269",609.7349853516
"270",613.9829711914
"271",610.8920288086
"272",612.1329956055
"273",610.2039794922
"274",612.5109863281
"275",613.0209960938
"276",617.1209716797
"277",619.1079711914
"278",616.7520141602
"279",618.9940185547
"280",641.0720214844
"281",636.1920166016
"282",636.7860107422
"283",640.3779907227
"284",638.6459960938
"285",641.6309814453
"286",639.1929931641
"287",637.9600219727
"288",630.5200195313
"289",630.8569946289
"290",632.8280029297
"291",657.2940063477
"292",657.0709838867
"293",653.7609863281
"294",657.5880126953
"295",678.3040161133
"296",688.3129882813
"297",689.6510009766
"298",714.4790039063
"299",701.8640136719
"300",700.9719848633
"301",729.7930297852
"302",740.8289794922
"303",688.700012207
"304",703.2349853516
"305",703.4180297852
"306",711.5219726563
"307",703.1309814453
"308",709.8480224609
"309",723.2730102539
"310",715.533996582
"311",716.4110107422
"312",705.0540161133
"313",702.0310058594
"314",705.0209960938
"315",711.6190185547
"316",744.1979980469
"317",740.9769897461
"318",751.5850219727
"319",751.616027832
"320",731.0260009766
"321",739.2479858398
"322",751.3469848633
"323",744.5939941406
"324",740.2890014648
"325",741.6489868164
"326",735.382019043
"327",732.0349731445
"328",735.8129882813
"329",735.6040039063
"330",745.6909790039
"331",756.7739868164
"332",777.9439697266
"333",771.1550292969
"334",773.8720092773
"335",758.700012207
"336",764.2239990234
"337",768.132019043
"338",770.8099975586
"339",772.7940063477
"340",774.6500244141
"341",769.7310180664
"342",780.0869750977
"343",780.5560302734
"344",781.4810180664
"345",778.0880126953
"346",784.9069824219
"347",790.8289794922
"348",790.5300292969
"349",792.7139892578
"350",800.8759765625
"351",834.2810058594
"352",864.5399780273
"353",921.9840087891
"354",898.8220214844
"355",896.1829833984
"356",907.6099853516
"357",933.1979980469
"358",975.9210205078
"359",973.4970092773
"360",961.2379760742
"361",963.742980957
"362",998.325012207
"363",1021.75
"364",1043.8399658203
"365",1154.7299804688
"366",1013.3800048828
"367",902.2009887695
"368",908.5850219727
"369",911.1989746094
"370",902.8280029297
"371",907.6790161133
"372",777.757019043
"373",804.833984375
"374",823.9840087891
"375",818.4119873047
"376",821.7979736328
"377",831.533996582
"378",907.9379882813
"379",886.617980957
"380",899.0729980469
"381",895.0260009766
"382",921.7890014648
"383",924.6729736328
"384",921.0120239258
"385",892.6870117188
"386",901.5419921875
"387",917.5859985352
"388",919.75
"389",921.5900268555
"390",919.4959716797
"391",920.382019043
"392",970.4030151367
"393",989.0230102539
"394",1011.799987793
"395",1029.9100341797
"396",1042.9000244141
"397",1027.3399658203
"398",1038.1500244141
"399",1061.3499755859
"400",1063.0699462891
"401",994.3829956055
"402",988.6740112305
"403",1004.450012207
"404",999.1810302734
"405",990.6420288086
"406",1004.549987793
"407",1007.4799804688
"408",1027.4399414063
"409",1046.2099609375
"410",1054.4200439453
"411",1047.8699951172
"412",1079.9799804688
"413",1115.3000488281
"414",1117.4399414063
"415",1166.7199707031
"416",1173.6800537109
"417",1143.8399658203
"418",1165.1999511719
"419",1179.9699707031
"420",1179.9699707031
"421",1222.5
"422",1251.0100097656
"423",1274.9899902344
"424",1255.1500244141
"425",1267.1199951172
"426",1272.8299560547
"427",1223.5400390625
"428",1150
"429",1188.4899902344
